EnergyDemandPeakKey,PeakDateKey,PeakTimeOfDayKey,EnergyMeterPointKey,EnergyDemandContractKey,PlantKey,UnitOfMeasureKey,DemandPeakEventNumber,PeakDemandQuantity,ContractExcessQuantity,PenaltyCostAmount,SourceSystemKey,BatchId,LoadedAtUtc
1920,20260809,45000,363,257,313,3,EDP001920,344.100000,344.100000,2640.4000,1,1,2026-08-24T00:00:00.000
1921,20260618,29400,146,-1,199,2,EDP001921,344.800000,344.800000,2641.7700,1,1,2026-08-24T00:00:00.000
1922,20260816,26040,400,372,319,2,EDP001922,345.500000,345.500000,2643.1400,1,1,2026-08-24T00:00:00.000
1923,20260626,61380,319,106,232,7,EDP001923,346.200000,346.200000,2644.5100,1,1,2026-08-24T00:00:00.000
1924,20260530,48300,221,154,338,3,EDP001924,346.900000,346.900000,2645.8800,1,1,2026-08-24T00:00:00.000
1925,20260719,240,362,254,108,4,EDP001925,347.600000,347.600000,2647.2500,1,1,2026-08-24T00:00:00.000
1926,20260528,72660,89,119,249,6,EDP001926,348.300000,348.300000,2648.6200,1,1,2026-08-24T00:00:00.000
1927,20260821,24660,248,244,63,1,EDP001927,349.000000,349.000000,2649.9900,1,1,2026-08-24T00:00:00.000
1928,20260802,48120,223,171,67,3,EDP001928,349.700000,349.700000,2651.3600,1,1,2026-08-24T00:00:00.000
1929,20260603,86220,379,327,307,7,EDP001929,350.400000,350.400000,2652.7300,1,1,2026-08-24T00:00:00.000
1930,20260527,82680,36,215,164,6,EDP001930,351.100000,351.100000,2654.1000,1,1,2026-08-24T00:00:00.000
1931,20260810,3840,217,163,68,2,EDP001931,351.800000,351.800000,2655.4700,1,1,2026-08-24T00:00:00.000
1932,20260710,72360,298,21,141,6,EDP001932,352.500000,352.500000,2656.8400,1,1,2026-08-24T00:00:00.000
1933,20260603,1140,79,428,55,6,EDP001933,353.200000,353.200000,2658.2100,1,1,2026-08-24T00:00:00.000
1934,20260724,50040,112,386,82,6,EDP001934,353.900000,353.900000,2659.5800,1,1,2026-08-24T00:00:00.000
1935,20260814,57540,128,452,26,3,EDP001935,354.600000,354.600000,2660.9500,1,1,2026-08-24T00:00:00.000
1936,20260530,37080,208,169,262,2,EDP001936,355.300000,355.300000,2662.3200,1,1,2026-08-24T00:00:00.000
1937,20260710,63660,357,481,284,2,EDP001937,356.000000,356.000000,2663.6900,1,1,2026-08-24T00:00:00.000
1938,20260607,39060,106,-1,274,6,EDP001938,356.700000,356.700000,2665.0600,1,1,2026-08-24T00:00:00.000
1939,20260606,1440,397,146,39,1,EDP001939,357.400000,357.400000,2666.4300,1,1,2026-08-24T00:00:00.000
1940,20260714,19620,437,310,120,6,EDP001940,358.100000,358.100000,2667.8000,1,1,2026-08-24T00:00:00.000
1941,20260822,64020,139,289,239,1,EDP001941,358.800000,358.800000,2669.1700,1,1,2026-08-24T00:00:00.000
1942,20260621,37080,116,195,98,2,EDP001942,359.500000,359.500000,2670.5400,1,1,2026-08-24T00:00:00.000
1943,20260709,63000,171,132,203,2,EDP001943,360.200000,360.200000,2671.9100,1,1,2026-08-24T00:00:00.000
1944,20260805,62640,229,119,61,3,EDP001944,360.900000,360.900000,2673.2800,1,1,2026-08-24T00:00:00.000
1945,20260622,71460,449,25,180,7,EDP001945,361.600000,361.600000,2674.6500,1,1,2026-08-24T00:00:00.000
1946,20260727,52500,23,127,195,7,EDP001946,362.300000,362.300000,2676.0200,1,1,2026-08-24T00:00:00.000
1947,20260605,38820,64,408,44,1,EDP001947,363.000000,363.000000,2677.3900,1,1,2026-08-24T00:00:00.000
1948,20260803,85800,49,469,101,4,EDP001948,363.700000,363.700000,2678.7600,1,1,2026-08-24T00:00:00.000
1949,20260802,37740,214,151,41,2,EDP001949,364.400000,364.400000,2680.1300,1,1,2026-08-24T00:00:00.000
1950,20260807,22080,132,54,31,7,EDP001950,365.100000,365.100000,2681.5000,1,1,2026-08-24T00:00:00.000
1951,20260812,41340,384,231,315,6,EDP001951,365.800000,365.800000,2682.8700,1,1,2026-08-24T00:00:00.000
1952,20260709,84300,233,205,18,2,EDP001952,366.500000,366.500000,2684.2400,1,1,2026-08-24T00:00:00.000
1953,20260619,33240,75,258,87,7,EDP001953,367.200000,367.200000,2685.6100,1,1,2026-08-24T00:00:00.000
1954,20260815,7980,3,462,338,3,EDP001954,367.900000,367.900000,2686.9800,1,1,2026-08-24T00:00:00.000
1955,20260704,25320,117,-1,259,1,EDP001955,368.600000,368.600000,2688.3500,1,1,2026-08-24T00:00:00.000
1956,20260703,28860,446,353,183,4,EDP001956,369.300000,369.300000,2689.7200,1,1,2026-08-24T00:00:00.000
1957,20260722,2160,382,285,170,7,EDP001957,370.000000,370.000000,2691.0900,1,1,2026-08-24T00:00:00.000
1958,20260805,80040,108,319,123,5,EDP001958,370.700000,370.700000,2692.4600,1,1,2026-08-24T00:00:00.000
1959,20260611,36060,280,412,268,1,EDP001959,371.400000,371.400000,2693.8300,1,1,2026-08-24T00:00:00.000
1960,20260601,32220,167,142,309,4,EDP001960,372.100000,372.100000,2695.2000,1,1,2026-08-24T00:00:00.000
1961,20260725,21480,463,188,71,5,EDP001961,372.800000,372.800000,2696.5700,1,1,2026-08-24T00:00:00.000
1962,20260608,10620,264,133,250,2,EDP001962,373.500000,373.500000,2697.9400,1,1,2026-08-24T00:00:00.000
1963,20260619,74040,97,299,252,6,EDP001963,374.200000,374.200000,2699.3100,1,1,2026-08-24T00:00:00.000
1964,20260823,43320,107,203,230,3,EDP001964,374.900000,374.900000,2700.6800,1,1,2026-08-24T00:00:00.000
1965,20260622,43320,37,129,8,3,EDP001965,375.600000,375.600000,2702.0500,1,1,2026-08-24T00:00:00.000
1966,20260719,70740,63,343,330,4,EDP001966,376.300000,376.300000,2703.4200,1,1,2026-08-24T00:00:00.000
1967,20260602,40740,315,138,187,4,EDP001967,377.000000,377.000000,2704.7900,1,1,2026-08-24T00:00:00.000
1968,20260725,37740,13,50,3,5,EDP001968,377.700000,377.700000,2706.1600,1,1,2026-08-24T00:00:00.000
1969,20260709,29100,274,72,289,1,EDP001969,378.400000,378.400000,2707.5300,1,1,2026-08-24T00:00:00.000
1970,20260706,68400,448,234,175,4,EDP001970,379.100000,379.100000,2708.9000,1,1,2026-08-24T00:00:00.000
1971,20260707,10680,157,471,104,7,EDP001971,379.800000,379.800000,2710.2700,1,1,2026-08-24T00:00:00.000
1972,20260628,36120,50,-1,193,6,EDP001972,380.500000,380.500000,2711.6400,1,1,2026-08-24T00:00:00.000
1973,20260810,52440,300,22,171,3,EDP001973,381.200000,381.200000,2713.0100,1,1,2026-08-24T00:00:00.000
1974,20260628,57780,270,280,163,1,EDP001974,381.900000,381.900000,2714.3800,1,1,2026-08-24T00:00:00.000
1975,20260821,5880,224,88,37,4,EDP001975,382.600000,382.600000,2715.7500,1,1,2026-08-24T00:00:00.000
1976,20260718,12900,116,386,233,2,EDP001976,383.300000,383.300000,2717.1200,1,1,2026-08-24T00:00:00.000
1977,20260530,1080,344,61,135,2,EDP001977,384.000000,384.000000,2718.4900,1,1,2026-08-24T00:00:00.000
1978,20260531,70140,436,305,43,2,EDP001978,384.700000,384.700000,2719.8600,1,1,2026-08-24T00:00:00.000
1979,20260814,11280,401,118,237,4,EDP001979,385.400000,385.400000,2721.2300,1,1,2026-08-24T00:00:00.000
1980,20260726,48600,69,42,172,5,EDP001980,386.100000,386.100000,2722.6000,1,1,2026-08-24T00:00:00.000
1981,20260630,81180,467,117,112,4,EDP001981,386.800000,386.800000,2723.9700,1,1,2026-08-24T00:00:00.000
1982,20260617,22500,464,317,285,4,EDP001982,387.500000,387.500000,2725.3400,1,1,2026-08-24T00:00:00.000
1983,20260613,52200,250,32,207,2,EDP001983,388.200000,388.200000,2726.7100,1,1,2026-08-24T00:00:00.000
1984,20260608,57480,142,409,130,3,EDP001984,388.900000,388.900000,2728.0800,1,1,2026-08-24T00:00:00.000
1985,20260621,35940,277,114,100,1,EDP001985,389.600000,389.600000,2729.4500,1,1,2026-08-24T00:00:00.000
1986,20260809,73320,437,500,169,7,EDP001986,390.300000,390.300000,2730.8200,1,1,2026-08-24T00:00:00.000
1987,20260710,3840,389,66,25,7,EDP001987,391.000000,391.000000,2732.1900,1,1,2026-08-24T00:00:00.000
1988,20260721,36480,227,381,184,3,EDP001988,391.700000,391.700000,2733.5600,1,1,2026-08-24T00:00:00.000
1989,20260616,25800,308,-1,148,3,EDP001989,392.400000,392.400000,2734.9300,1,1,2026-08-24T00:00:00.000
1990,20260703,14820,305,397,230,7,EDP001990,393.100000,393.100000,2736.3000,1,1,2026-08-24T00:00:00.000
1991,20260725,3540,18,350,243,6,EDP001991,393.800000,393.800000,2737.6700,1,1,2026-08-24T00:00:00.000
1992,20260607,29520,278,224,67,5,EDP001992,394.500000,394.500000,2739.0400,1,1,2026-08-24T00:00:00.000
1993,20260626,48060,380,422,200,4,EDP001993,395.200000,395.200000,2740.4100,1,1,2026-08-24T00:00:00.000
1994,20260812,42540,304,462,308,2,EDP001994,395.900000,395.900000,2741.7800,1,1,2026-08-24T00:00:00.000
1995,20260613,66840,478,115,264,2,EDP001995,396.600000,396.600000,2743.1500,1,1,2026-08-24T00:00:00.000
1996,20260718,74580,438,375,225,5,EDP001996,397.300000,397.300000,2744.5200,1,1,2026-08-24T00:00:00.000
1997,20260615,67200,429,262,306,2,EDP001997,398.000000,398.000000,2745.8900,1,1,2026-08-24T00:00:00.000
1998,20260610,3600,63,190,130,4,EDP001998,398.700000,398.700000,2747.2600,1,1,2026-08-24T00:00:00.000
1999,20260609,84900,372,312,230,1,EDP001999,399.400000,399.400000,2748.6300,1,1,2026-08-24T00:00:00.000
2000,20260729,29220,440,388,82,1,EDP002000,400.100000,400.100000,2750.0000,1,1,2026-08-24T00:00:00.000
2001,20260531,23520,334,309,206,5,EDP002001,400.800000,400.800000,2751.3700,1,1,2026-08-24T00:00:00.000
2002,20260619,60600,275,144,195,6,EDP002002,401.500000,401.500000,2752.7400,1,1,2026-08-24T00:00:00.000
2003,20260812,22560,71,320,274,3,EDP002003,402.200000,402.200000,2754.1100,1,1,2026-08-24T00:00:00.000
2004,20260711,78300,243,303,159,2,EDP002004,402.900000,402.900000,2755.4800,1,1,2026-08-24T00:00:00.000
2005,20260604,53700,231,277,155,7,EDP002005,403.600000,403.600000,2756.8500,1,1,2026-08-24T00:00:00.000
2006,20260716,8640,329,-1,3,6,EDP002006,404.300000,404.300000,2758.2200,1,1,2026-08-24T00:00:00.000
2007,20260622,63720,249,439,61,3,EDP002007,405.000000,405.000000,2759.5900,1,1,2026-08-24T00:00:00.000
2008,20260703,31140,246,441,309,1,EDP002008,405.700000,405.700000,2760.9600,1,1,2026-08-24T00:00:00.000
2009,20260714,77580,266,279,131,5,EDP002009,406.400000,406.400000,2762.3300,1,1,2026-08-24T00:00:00.000
2010,20260807,68880,496,422,293,4,EDP002010,407.100000,407.100000,2763.7000,1,1,2026-08-24T00:00:00.000
2011,20260608,61620,110,500,80,1,EDP002011,407.800000,407.800000,2765.0700,1,1,2026-08-24T00:00:00.000
2012,20260622,16080,147,343,49,7,EDP002012,408.500000,408.500000,2766.4400,1,1,2026-08-24T00:00:00.000
2013,20260628,36900,369,496,275,3,EDP002013,409.200000,409.200000,2767.8100,1,1,2026-08-24T00:00:00.000
2014,20260705,48240,196,260,276,5,EDP002014,409.900000,409.900000,2769.1800,1,1,2026-08-24T00:00:00.000
2015,20260608,1920,419,195,267,2,EDP002015,410.600000,410.600000,2770.5500,1,1,2026-08-24T00:00:00.000
2016,20260609,58500,419,89,270,6,EDP002016,411.300000,411.300000,2771.9200,1,1,2026-08-24T00:00:00.000
2017,20260709,84180,6,116,8,7,EDP002017,412.000000,412.000000,2773.2900,1,1,2026-08-24T00:00:00.000
2018,20260618,29640,408,144,325,6,EDP002018,412.700000,412.700000,2774.6600,1,1,2026-08-24T00:00:00.000
2019,20260721,2160,500,245,62,2,EDP002019,413.400000,413.400000,2776.0300,1,1,2026-08-24T00:00:00.000
2020,20260807,15660,381,141,172,4,EDP002020,414.100000,414.100000,2777.4000,1,1,2026-08-24T00:00:00.000
2021,20260822,73740,440,101,115,5,EDP002021,414.800000,414.800000,2778.7700,1,1,2026-08-24T00:00:00.000
2022,20260712,49500,326,318,338,2,EDP002022,415.500000,415.500000,2780.1400,1,1,2026-08-24T00:00:00.000
2023,20260730,73260,108,-1,209,2,EDP002023,416.200000,416.200000,2781.5100,1,1,2026-08-24T00:00:00.000
2024,20260801,11460,154,152,297,2,EDP002024,416.900000,416.900000,2782.8800,1,1,2026-08-24T00:00:00.000
2025,20260813,10500,36,25,339,7,EDP002025,417.600000,417.600000,2784.2500,1,1,2026-08-24T00:00:00.000
2026,20260723,26520,440,213,127,4,EDP002026,418.300000,418.300000,2785.6200,1,1,2026-08-24T00:00:00.000
2027,20260808,70200,21,385,97,7,EDP002027,419.000000,419.000000,2786.9900,1,1,2026-08-24T00:00:00.000
2028,20260614,80340,429,87,1,5,EDP002028,419.700000,419.700000,2788.3600,1,1,2026-08-24T00:00:00.000
2029,20260711,41400,319,136,269,4,EDP002029,420.400000,420.400000,2789.7300,1,1,2026-08-24T00:00:00.000
2030,20260704,29880,65,268,174,1,EDP002030,421.100000,421.100000,2791.1000,1,1,2026-08-24T00:00:00.000
2031,20260809,35040,451,87,110,3,EDP002031,421.800000,421.800000,2792.4700,1,1,2026-08-24T00:00:00.000
2032,20260717,780,370,481,237,5,EDP002032,422.500000,422.500000,2793.8400,1,1,2026-08-24T00:00:00.000
2033,20260721,180,421,340,103,7,EDP002033,423.200000,423.200000,2795.2100,1,1,2026-08-24T00:00:00.000
2034,20260709,43200,124,397,227,4,EDP002034,423.900000,423.900000,2796.5800,1,1,2026-08-24T00:00:00.000
2035,20260704,2220,11,65,235,4,EDP002035,424.600000,424.600000,2797.9500,1,1,2026-08-24T00:00:00.000
2036,20260715,79980,235,441,1,2,EDP002036,425.300000,425.300000,2799.3200,1,1,2026-08-24T00:00:00.000
2037,20260625,86280,21,384,78,3,EDP002037,426.000000,426.000000,2800.6900,1,1,2026-08-24T00:00:00.000
2038,20260620,86040,71,107,167,5,EDP002038,426.700000,426.700000,2802.0600,1,1,2026-08-24T00:00:00.000
2039,20260805,73680,329,43,110,5,EDP002039,427.400000,427.400000,2803.4300,1,1,2026-08-24T00:00:00.000
2040,20260811,900,138,-1,194,7,EDP002040,428.100000,428.100000,2804.8000,1,1,2026-08-24T00:00:00.000
2041,20260704,7800,215,364,80,5,EDP002041,428.800000,428.800000,2806.1700,1,1,2026-08-24T00:00:00.000
2042,20260814,37560,84,298,224,2,EDP002042,429.500000,429.500000,2807.5400,1,1,2026-08-24T00:00:00.000
2043,20260602,30780,423,112,3,6,EDP002043,430.200000,430.200000,2808.9100,1,1,2026-08-24T00:00:00.000
2044,20260710,12060,377,349,296,3,EDP002044,430.900000,430.900000,2810.2800,1,1,2026-08-24T00:00:00.000
2045,20260718,47400,40,349,169,1,EDP002045,431.600000,431.600000,2811.6500,1,1,2026-08-24T00:00:00.000
2046,20260608,38820,450,333,43,5,EDP002046,432.300000,432.300000,2813.0200,1,1,2026-08-24T00:00:00.000
2047,20260617,54060,496,351,95,5,EDP002047,433.000000,433.000000,2814.3900,1,1,2026-08-24T00:00:00.000
2048,20260716,62040,23,451,284,3,EDP002048,433.700000,433.700000,2815.7600,1,1,2026-08-24T00:00:00.000
2049,20260613,44820,175,463,159,1,EDP002049,434.400000,434.400000,2817.1300,1,1,2026-08-24T00:00:00.000
2050,20260817,20220,398,212,141,4,EDP002050,435.100000,435.100000,2818.5000,1,1,2026-08-24T00:00:00.000
2051,20260706,300,498,177,306,4,EDP002051,435.800000,435.800000,2819.8700,1,1,2026-08-24T00:00:00.000
2052,20260727,71700,120,3,299,6,EDP002052,436.500000,436.500000,2821.2400,1,1,2026-08-24T00:00:00.000
2053,20260820,3120,427,287,41,4,EDP002053,437.200000,437.200000,2822.6100,1,1,2026-08-24T00:00:00.000
2054,20260803,34680,155,160,286,1,EDP002054,437.900000,437.900000,2823.9800,1,1,2026-08-24T00:00:00.000
2055,20260726,27960,480,355,276,5,EDP002055,438.600000,438.600000,2825.3500,1,1,2026-08-24T00:00:00.000
2056,20260727,38400,403,427,130,1,EDP002056,439.300000,439.300000,2826.7200,1,1,2026-08-24T00:00:00.000
2057,20260807,63900,305,-1,93,1,EDP002057,440.000000,440.000000,2828.0900,1,1,2026-08-24T00:00:00.000
2058,20260601,19200,340,96,290,6,EDP002058,440.700000,440.700000,2829.4600,1,1,2026-08-24T00:00:00.000
2059,20260818,18180,112,289,121,4,EDP002059,441.400000,441.400000,2830.8300,1,1,2026-08-24T00:00:00.000
2060,20260812,3660,7,313,44,4,EDP002060,442.100000,442.100000,2832.2000,1,1,2026-08-24T00:00:00.000
2061,20260722,76620,137,156,232,7,EDP002061,442.800000,442.800000,2833.5700,1,1,2026-08-24T00:00:00.000
2062,20260718,26160,150,389,35,4,EDP002062,443.500000,443.500000,2834.9400,1,1,2026-08-24T00:00:00.000
2063,20260630,9900,327,219,301,5,EDP002063,444.200000,444.200000,2836.3100,1,1,2026-08-24T00:00:00.000
2064,20260726,57660,320,246,56,5,EDP002064,444.900000,444.900000,2837.6800,1,1,2026-08-24T00:00:00.000
2065,20260716,67020,27,345,7,6,EDP002065,445.600000,445.600000,2839.0500,1,1,2026-08-24T00:00:00.000
2066,20260617,50520,147,308,146,3,EDP002066,446.300000,446.300000,2840.4200,1,1,2026-08-24T00:00:00.000
2067,20260607,36060,15,381,335,4,EDP002067,447.000000,447.000000,2841.7900,1,1,2026-08-24T00:00:00.000
2068,20260717,30300,85,372,136,2,EDP002068,447.700000,447.700000,2843.1600,1,1,2026-08-24T00:00:00.000
2069,20260714,3180,96,205,283,6,EDP002069,448.400000,448.400000,2844.5300,1,1,2026-08-24T00:00:00.000
2070,20260608,35880,166,259,169,5,EDP002070,449.100000,449.100000,2845.9000,1,1,2026-08-24T00:00:00.000
2071,20260802,29700,13,381,177,1,EDP002071,449.800000,449.800000,2847.2700,1,1,2026-08-24T00:00:00.000
2072,20260705,13260,18,97,253,3,EDP002072,450.500000,450.500000,2848.6400,1,1,2026-08-24T00:00:00.000
2073,20260612,3180,405,255,287,7,EDP002073,451.200000,451.200000,2850.0100,1,1,2026-08-24T00:00:00.000
2074,20260621,62340,426,-1,231,1,EDP002074,451.900000,451.900000,2851.3800,1,1,2026-08-24T00:00:00.000
2075,20260726,62460,419,283,289,5,EDP002075,452.600000,452.600000,2852.7500,1,1,2026-08-24T00:00:00.000
2076,20260708,18780,339,133,73,1,EDP002076,453.300000,453.300000,2854.1200,1,1,2026-08-24T00:00:00.000
2077,20260717,66360,443,402,45,2,EDP002077,454.000000,454.000000,2855.4900,1,1,2026-08-24T00:00:00.000
2078,20260821,33480,113,105,120,4,EDP002078,454.700000,454.700000,2856.8600,1,1,2026-08-24T00:00:00.000
2079,20260809,40740,31,330,291,5,EDP002079,455.400000,455.400000,2858.2300,1,1,2026-08-24T00:00:00.000
2080,20260716,86220,11,274,266,4,EDP002080,456.100000,456.100000,2859.6000,1,1,2026-08-24T00:00:00.000
2081,20260803,51540,81,339,196,2,EDP002081,456.800000,456.800000,2860.9700,1,1,2026-08-24T00:00:00.000
2082,20260621,59520,152,18,52,3,EDP002082,457.500000,457.500000,2862.3400,1,1,2026-08-24T00:00:00.000
2083,20260623,45960,73,51,198,6,EDP002083,458.200000,458.200000,2863.7100,1,1,2026-08-24T00:00:00.000
2084,20260612,50640,371,202,170,2,EDP002084,458.900000,458.900000,2865.0800,1,1,2026-08-24T00:00:00.000
2085,20260711,3240,430,408,13,2,EDP002085,459.600000,459.600000,2866.4500,1,1,2026-08-24T00:00:00.000
2086,20260721,10860,292,198,192,3,EDP002086,460.300000,460.300000,2867.8200,1,1,2026-08-24T00:00:00.000
2087,20260529,12240,50,235,194,2,EDP002087,461.000000,461.000000,2869.1900,1,1,2026-08-24T00:00:00.000
2088,20260717,75540,144,346,198,6,EDP002088,461.700000,461.700000,2870.5600,1,1,2026-08-24T00:00:00.000
2089,20260824,50220,427,290,58,6,EDP002089,462.400000,462.400000,2871.9300,1,1,2026-08-24T00:00:00.000
2090,20260727,69540,244,441,174,7,EDP002090,463.100000,463.100000,2873.3000,1,1,2026-08-24T00:00:00.000
2091,20260605,79440,198,-1,133,4,EDP002091,463.800000,463.800000,2874.6700,1,1,2026-08-24T00:00:00.000
2092,20260727,60780,230,3,267,4,EDP002092,464.500000,464.500000,2876.0400,1,1,2026-08-24T00:00:00.000
2093,20260820,20460,337,416,107,4,EDP002093,465.200000,465.200000,2877.4100,1,1,2026-08-24T00:00:00.000
2094,20260609,62880,76,263,37,7,EDP002094,465.900000,465.900000,2878.7800,1,1,2026-08-24T00:00:00.000
2095,20260806,55860,401,153,59,3,EDP002095,466.600000,466.600000,2880.1500,1,1,2026-08-24T00:00:00.000
2096,20260728,84900,186,413,266,6,EDP002096,467.300000,467.300000,2881.5200,1,1,2026-08-24T00:00:00.000
2097,20260714,84720,452,266,28,3,EDP002097,468.000000,468.000000,2882.8900,1,1,2026-08-24T00:00:00.000
2098,20260607,71700,85,34,115,4,EDP002098,468.700000,468.700000,2884.2600,1,1,2026-08-24T00:00:00.000
2099,20260714,64440,492,107,342,2,EDP002099,469.400000,469.400000,2885.6300,1,1,2026-08-24T00:00:00.000
2100,20260606,43200,9,245,320,6,EDP002100,470.100000,470.100000,2887.0000,1,1,2026-08-24T00:00:00.000
2101,20260718,32160,280,130,56,6,EDP002101,470.800000,470.800000,2888.3700,1,1,2026-08-24T00:00:00.000
2102,20260710,60960,405,409,198,7,EDP002102,471.500000,471.500000,2889.7400,1,1,2026-08-24T00:00:00.000
2103,20260621,60420,440,386,198,3,EDP002103,472.200000,472.200000,2891.1100,1,1,2026-08-24T00:00:00.000
2104,20260630,51780,272,279,179,2,EDP002104,472.900000,472.900000,2892.4800,1,1,2026-08-24T00:00:00.000
2105,20260718,56280,198,288,36,5,EDP002105,473.600000,473.600000,2893.8500,1,1,2026-08-24T00:00:00.000
2106,20260714,16140,441,243,47,3,EDP002106,474.300000,474.300000,2895.2200,1,1,2026-08-24T00:00:00.000
2107,20260717,40920,149,311,321,5,EDP002107,475.000000,475.000000,2896.5900,1,1,2026-08-24T00:00:00.000
2108,20260707,35340,464,-1,316,3,EDP002108,475.700000,475.700000,2897.9600,1,1,2026-08-24T00:00:00.000
2109,20260702,45000,275,373,265,1,EDP002109,476.400000,476.400000,2899.3300,1,1,2026-08-24T00:00:00.000
2110,20260708,13860,126,24,240,1,EDP002110,477.100000,477.100000,2900.7000,1,1,2026-08-24T00:00:00.000
2111,20260609,49200,366,326,160,7,EDP002111,477.800000,477.800000,2902.0700,1,1,2026-08-24T00:00:00.000
2112,20260708,10320,268,142,156,2,EDP002112,478.500000,478.500000,2903.4400,1,1,2026-08-24T00:00:00.000
2113,20260721,49200,288,257,249,6,EDP002113,479.200000,479.200000,2904.8100,1,1,2026-08-24T00:00:00.000
2114,20260624,46620,231,145,316,7,EDP002114,479.900000,479.900000,2906.1800,1,1,2026-08-24T00:00:00.000
2115,20260821,14880,447,147,179,7,EDP002115,480.600000,480.600000,2907.5500,1,1,2026-08-24T00:00:00.000
2116,20260615,71520,207,193,350,1,EDP002116,481.300000,481.300000,2908.9200,1,1,2026-08-24T00:00:00.000
2117,20260723,54720,311,105,207,1,EDP002117,482.000000,482.000000,2910.2900,1,1,2026-08-24T00:00:00.000
2118,20260601,70560,400,376,166,4,EDP002118,482.700000,482.700000,2911.6600,1,1,2026-08-24T00:00:00.000
2119,20260724,76800,294,92,346,3,EDP002119,483.400000,483.400000,2913.0300,1,1,2026-08-24T00:00:00.000
2120,20260628,79800,130,278,162,1,EDP002120,484.100000,484.100000,2914.4000,1,1,2026-08-24T00:00:00.000
2121,20260601,70560,416,23,92,7,EDP002121,484.800000,484.800000,2915.7700,1,1,2026-08-24T00:00:00.000
2122,20260624,54120,188,137,313,7,EDP002122,485.500000,485.500000,2917.1400,1,1,2026-08-24T00:00:00.000
2123,20260606,20220,393,334,145,3,EDP002123,486.200000,486.200000,2918.5100,1,1,2026-08-24T00:00:00.000
2124,20260803,74880,486,388,331,5,EDP002124,486.900000,486.900000,2919.8800,1,1,2026-08-24T00:00:00.000
2125,20260702,40380,438,-1,135,3,EDP002125,487.600000,487.600000,2921.2500,1,1,2026-08-24T00:00:00.000
2126,20260605,57960,326,24,229,3,EDP002126,488.300000,488.300000,2922.6200,1,1,2026-08-24T00:00:00.000
2127,20260611,24060,1,212,71,4,EDP002127,489.000000,489.000000,2923.9900,1,1,2026-08-24T00:00:00.000
2128,20260529,15720,319,250,40,3,EDP002128,489.700000,489.700000,2925.3600,1,1,2026-08-24T00:00:00.000
2129,20260803,63960,53,387,237,5,EDP002129,490.400000,490.400000,2926.7300,1,1,2026-08-24T00:00:00.000
2130,20260821,45300,327,209,64,3,EDP002130,491.100000,491.100000,2928.1000,1,1,2026-08-24T00:00:00.000
2131,20260605,1980,63,484,139,3,EDP002131,491.800000,491.800000,2929.4700,1,1,2026-08-24T00:00:00.000
2132,20260613,16920,336,369,247,1,EDP002132,492.500000,492.500000,2930.8400,1,1,2026-08-24T00:00:00.000
2133,20260713,71520,353,84,291,4,EDP002133,493.200000,493.200000,2932.2100,1,1,2026-08-24T00:00:00.000
2134,20260811,46560,273,390,202,2,EDP002134,493.900000,493.900000,2933.5800,1,1,2026-08-24T00:00:00.000
2135,20260815,35940,93,116,22,3,EDP002135,494.600000,494.600000,2934.9500,1,1,2026-08-24T00:00:00.000
2136,20260616,52680,296,434,317,4,EDP002136,495.300000,495.300000,2936.3200,1,1,2026-08-24T00:00:00.000
2137,20260805,33660,418,479,104,1,EDP002137,496.000000,496.000000,2937.6900,1,1,2026-08-24T00:00:00.000
2138,20260728,36540,26,472,193,7,EDP002138,496.700000,496.700000,2939.0600,1,1,2026-08-24T00:00:00.000
2139,20260822,30660,171,198,147,7,EDP002139,497.400000,497.400000,2940.4300,1,1,2026-08-24T00:00:00.000
2140,20260806,26760,185,256,198,1,EDP002140,498.100000,498.100000,2941.8000,1,1,2026-08-24T00:00:00.000
2141,20260531,64740,61,496,313,6,EDP002141,498.800000,498.800000,2943.1700,1,1,2026-08-24T00:00:00.000
2142,20260715,44340,134,-1,155,6,EDP002142,499.500000,499.500000,2944.5400,1,1,2026-08-24T00:00:00.000
2143,20260623,18240,408,75,27,4,EDP002143,500.200000,500.200000,2945.9100,1,1,2026-08-24T00:00:00.000
2144,20260710,45480,272,210,156,3,EDP002144,500.900000,500.900000,2947.2800,1,1,2026-08-24T00:00:00.000
2145,20260619,10800,427,253,124,5,EDP002145,501.600000,501.600000,2948.6500,1,1,2026-08-24T00:00:00.000
2146,20260702,64740,353,152,320,3,EDP002146,502.300000,502.300000,2950.0200,1,1,2026-08-24T00:00:00.000
2147,20260806,12660,492,260,346,5,EDP002147,503.000000,503.000000,2951.3900,1,1,2026-08-24T00:00:00.000
2148,20260717,13620,190,293,28,3,EDP002148,503.700000,503.700000,2952.7600,1,1,2026-08-24T00:00:00.000
2149,20260718,55860,164,45,97,3,EDP002149,504.400000,504.400000,2954.1300,1,1,2026-08-24T00:00:00.000
2150,20260810,84240,403,310,19,7,EDP002150,505.100000,505.100000,2955.5000,1,1,2026-08-24T00:00:00.000
2151,20260820,64020,398,112,46,1,EDP002151,505.800000,505.800000,2956.8700,1,1,2026-08-24T00:00:00.000
2152,20260823,61800,473,316,325,1,EDP002152,506.500000,506.500000,2958.2400,1,1,2026-08-24T00:00:00.000
2153,20260703,81600,118,26,230,6,EDP002153,507.200000,507.200000,2959.6100,1,1,2026-08-24T00:00:00.000
