LaborCertificationKey,LaborCertificationCode,LaborSkillKey,LaborCertificationName,CertificationAuthority,ValidityMonths,SourceSystemKey,BatchId,LoadedAtUtc
457,LC000457,155,Meridian LaborCertification 457,LaborCertification-CertificationAuthority-457,2,1,1,2026-08-24T00:00:00.000
458,LC000458,412,Harbor LaborCertification 458,LaborCertification-CertificationAuthority-458,3,1,1,2026-08-24T00:00:00.000
459,LC000459,355,Northstar LaborCertification 459,LaborCertification-CertificationAuthority-459,4,1,1,2026-08-24T00:00:00.000
460,LC000460,362,Keystone LaborCertification 460,LaborCertification-CertificationAuthority-460,5,1,1,2026-08-24T00:00:00.000
461,LC000461,297,Ion LaborCertification 461,LaborCertification-CertificationAuthority-461,6,1,1,2026-08-24T00:00:00.000
462,LC000462,237,Junction LaborCertification 462,LaborCertification-CertificationAuthority-462,7,1,1,2026-08-24T00:00:00.000
463,LC000463,493,Pioneer LaborCertification 463,LaborCertification-CertificationAuthority-463,8,1,1,2026-08-24T00:00:00.000
464,LC000464,278,Granite LaborCertification 464,LaborCertification-CertificationAuthority-464,9,1,1,2026-08-24T00:00:00.000
465,LC000465,399,Titan LaborCertification 465,LaborCertification-CertificationAuthority-465,10,1,1,2026-08-24T00:00:00.000
466,LC000466,243,Pioneer LaborCertification 466,LaborCertification-CertificationAuthority-466,11,1,1,2026-08-24T00:00:00.000
467,LC000467,5,Orion LaborCertification 467,LaborCertification-CertificationAuthority-467,12,1,1,2026-08-24T00:00:00.000
468,LC000468,415,Forge LaborCertification 468,LaborCertification-CertificationAuthority-468,1,1,1,2026-08-24T00:00:00.000
469,LC000469,417,Orion LaborCertification 469,LaborCertification-CertificationAuthority-469,2,1,1,2026-08-24T00:00:00.000
470,LC000470,279,Forge LaborCertification 470,LaborCertification-CertificationAuthority-470,3,1,1,2026-08-24T00:00:00.000
471,LC000471,328,Cedar LaborCertification 471,LaborCertification-CertificationAuthority-471,4,1,1,2026-08-24T00:00:00.000
472,LC000472,272,Unity LaborCertification 472,LaborCertification-CertificationAuthority-472,5,1,1,2026-08-24T00:00:00.000
473,LC000473,278,Summit LaborCertification 473,LaborCertification-CertificationAuthority-473,6,1,1,2026-08-24T00:00:00.000
474,LC000474,281,Pioneer LaborCertification 474,LaborCertification-CertificationAuthority-474,7,1,1,2026-08-24T00:00:00.000
475,LC000475,47,Evergreen LaborCertification 475,LaborCertification-CertificationAuthority-475,8,1,1,2026-08-24T00:00:00.000
476,LC000476,64,Unity LaborCertification 476,LaborCertification-CertificationAuthority-476,9,1,1,2026-08-24T00:00:00.000
477,LC000477,73,Riverton LaborCertification 477,LaborCertification-CertificationAuthority-477,10,1,1,2026-08-24T00:00:00.000
478,LC000478,154,Ion LaborCertification 478,LaborCertification-CertificationAuthority-478,11,1,1,2026-08-24T00:00:00.000
479,LC000479,9,Titan LaborCertification 479,LaborCertification-CertificationAuthority-479,12,1,1,2026-08-24T00:00:00.000
480,LC000480,293,Riverton LaborCertification 480,LaborCertification-CertificationAuthority-480,1,1,1,2026-08-24T00:00:00.000
481,LC000481,392,Ion LaborCertification 481,LaborCertification-CertificationAuthority-481,2,1,1,2026-08-24T00:00:00.000
482,LC000482,218,Summit LaborCertification 482,LaborCertification-CertificationAuthority-482,3,1,1,2026-08-24T00:00:00.000
483,LC000483,497,Ion LaborCertification 483,LaborCertification-CertificationAuthority-483,4,1,1,2026-08-24T00:00:00.000
484,LC000484,208,Delta LaborCertification 484,LaborCertification-CertificationAuthority-484,5,1,1,2026-08-24T00:00:00.000
485,LC000485,53,Summit LaborCertification 485,LaborCertification-CertificationAuthority-485,6,1,1,2026-08-24T00:00:00.000
486,LC000486,251,Riverton LaborCertification 486,LaborCertification-CertificationAuthority-486,7,1,1,2026-08-24T00:00:00.000
487,LC000487,344,Titan LaborCertification 487,LaborCertification-CertificationAuthority-487,8,1,1,2026-08-24T00:00:00.000
488,LC000488,249,Evergreen LaborCertification 488,LaborCertification-CertificationAuthority-488,9,1,1,2026-08-24T00:00:00.000
489,LC000489,352,Keystone LaborCertification 489,LaborCertification-CertificationAuthority-489,10,1,1,2026-08-24T00:00:00.000
490,LC000490,245,Vertex LaborCertification 490,LaborCertification-CertificationAuthority-490,11,1,1,2026-08-24T00:00:00.000
491,LC000491,395,Unity LaborCertification 491,LaborCertification-CertificationAuthority-491,12,1,1,2026-08-24T00:00:00.000
492,LC000492,45,Northstar LaborCertification 492,LaborCertification-CertificationAuthority-492,1,1,1,2026-08-24T00:00:00.000
493,LC000493,239,Unity LaborCertification 493,LaborCertification-CertificationAuthority-493,2,1,1,2026-08-24T00:00:00.000
494,LC000494,237,Unity LaborCertification 494,LaborCertification-CertificationAuthority-494,3,1,1,2026-08-24T00:00:00.000
495,LC000495,286,Riverton LaborCertification 495,LaborCertification-CertificationAuthority-495,4,1,1,2026-08-24T00:00:00.000
496,LC000496,305,Orion LaborCertification 496,LaborCertification-CertificationAuthority-496,5,1,1,2026-08-24T00:00:00.000
497,LC000497,45,Junction LaborCertification 497,LaborCertification-CertificationAuthority-497,6,1,1,2026-08-24T00:00:00.000
498,LC000498,270,Granite LaborCertification 498,LaborCertification-CertificationAuthority-498,7,1,1,2026-08-24T00:00:00.000
499,LC000499,210,Orion LaborCertification 499,LaborCertification-CertificationAuthority-499,8,1,1,2026-08-24T00:00:00.000
500,LC000500,258,Meridian LaborCertification 500,LaborCertification-CertificationAuthority-500,9,1,1,2026-08-24T00:00:00.000
