InventorySerialNumberKey,SerialNumber,ProductKey,InventoryLotKey,InventoryStockStatusKey,SerialDescription,ActivationDate,WarrantyEndDate,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
200,ISN000200,72,62,3,InventorySerialNumber starter record 200,2020-07-19,2021-07-19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6a8ce02573e95fe09a270e862861803c6a8ce02573e95fe09a270e862861803c
201,ISN000201,180,414,6,InventorySerialNumber starter record 201,2020-07-20,2021-07-20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2378fd4d947550498fd35d6cede1a0652378fd4d947550498fd35d6cede1a065
202,ISN000202,278,243,8,InventorySerialNumber starter record 202,2020-07-21,2021-07-21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6e68dc1bc41a503693cf2464cc334e386e68dc1bc41a503693cf2464cc334e38
203,ISN000203,297,280,7,InventorySerialNumber starter record 203,2020-07-22,2021-07-22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,36dfb9cce5d8587ea3490d6c9bfb52f936dfb9cce5d8587ea3490d6c9bfb52f9
204,ISN000204,458,-1,5,InventorySerialNumber starter record 204,2020-07-23,2021-07-23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d320b8f929c95098955023782eef5a33d320b8f929c95098955023782eef5a33
205,ISN000205,309,248,5,InventorySerialNumber starter record 205,2020-07-24,2021-07-24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2d68bb7c827d521b969d04e56d4885de2d68bb7c827d521b969d04e56d4885de
206,ISN000206,307,212,8,InventorySerialNumber starter record 206,2020-07-25,2021-07-25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5a6fea8f2b8559aebdb18ff770d8279c5a6fea8f2b8559aebdb18ff770d8279c
207,ISN000207,413,459,2,InventorySerialNumber starter record 207,2020-07-26,2021-07-26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8b093d5e4dfc5f4da52700dbe8b0b51a8b093d5e4dfc5f4da52700dbe8b0b51a
208,ISN000208,89,389,5,InventorySerialNumber starter record 208,2020-07-27,2021-07-27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ef13e5360d3d5aacb6b25683863b1dd1ef13e5360d3d5aacb6b25683863b1dd1
209,ISN000209,167,228,9,InventorySerialNumber starter record 209,2020-07-28,2021-07-28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ef4f45f60b1e564e802b350d1af49e9cef4f45f60b1e564e802b350d1af49e9c
210,ISN000210,424,413,1,InventorySerialNumber starter record 210,2020-07-29,2021-07-29,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b6ee77f442555e3f829b4b447e2efa86b6ee77f442555e3f829b4b447e2efa86
211,ISN000211,147,162,10,InventorySerialNumber starter record 211,2020-07-30,2021-07-30,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,66d8c472c41359f1a9fc4e33c9e0440b66d8c472c41359f1a9fc4e33c9e0440b
212,ISN000212,324,273,7,InventorySerialNumber starter record 212,2020-07-31,2021-07-31,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,976cc82a08455166af0d8a887b9fcf1d976cc82a08455166af0d8a887b9fcf1d
213,ISN000213,329,457,10,InventorySerialNumber starter record 213,2020-08-01,2021-08-01,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f0e148b8a0b159a5bd56a9e0a95ab148f0e148b8a0b159a5bd56a9e0a95ab148
214,ISN000214,475,255,3,InventorySerialNumber starter record 214,2020-08-02,2021-08-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f1e2a7e985d258ccab8f5973a560f200f1e2a7e985d258ccab8f5973a560f200
215,ISN000215,16,173,3,InventorySerialNumber starter record 215,2020-08-03,2021-08-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,46652c39f48551769e6f367a11d82c6346652c39f48551769e6f367a11d82c63
216,ISN000216,486,166,5,InventorySerialNumber starter record 216,2020-08-04,2021-08-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,188e9594501d59d6a51ec0ddcd2e07e2188e9594501d59d6a51ec0ddcd2e07e2
217,ISN000217,348,385,5,InventorySerialNumber starter record 217,2020-08-05,2021-08-05,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d4d9fe1a81db53ce8a553a0b507c34a3d4d9fe1a81db53ce8a553a0b507c34a3
218,ISN000218,89,213,8,InventorySerialNumber starter record 218,2020-08-06,2021-08-06,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5c019130b82054a4b02bf64020daa4575c019130b82054a4b02bf64020daa457
219,ISN000219,98,449,7,InventorySerialNumber starter record 219,2020-08-07,2021-08-07,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,de87ad14fa3d5273b86f3e4b62b3d447de87ad14fa3d5273b86f3e4b62b3d447
220,ISN000220,462,473,4,InventorySerialNumber starter record 220,2020-08-08,2021-08-08,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cd1f3536d47b54038eb60d7afc26c3f6cd1f3536d47b54038eb60d7afc26c3f6
221,ISN000221,458,-1,1,InventorySerialNumber starter record 221,2020-08-09,2021-08-09,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,03e592877acb52e6a5a4919c0436a81a03e592877acb52e6a5a4919c0436a81a
222,ISN000222,356,25,2,InventorySerialNumber starter record 222,2020-08-10,2021-08-10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cb76a95e12b559d791ace536db16a0e6cb76a95e12b559d791ace536db16a0e6
223,ISN000223,363,399,5,InventorySerialNumber starter record 223,2020-08-11,2021-08-11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3774334c60865aa7b895228bf0e729703774334c60865aa7b895228bf0e72970
224,ISN000224,117,265,3,InventorySerialNumber starter record 224,2020-08-12,2021-08-12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,971e3a33cd685d42906060f459df8e00971e3a33cd685d42906060f459df8e00
225,ISN000225,166,31,10,InventorySerialNumber starter record 225,2020-08-13,2021-08-13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,46ca453973485b1fa22426e4b7d0f24046ca453973485b1fa22426e4b7d0f240
226,ISN000226,262,259,1,InventorySerialNumber starter record 226,2020-08-14,2021-08-14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,90cb39ac8727557eb217a802c1bc655c90cb39ac8727557eb217a802c1bc655c
227,ISN000227,453,34,5,InventorySerialNumber starter record 227,2020-08-15,2021-08-15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,af5f97a9e829571fab8ed3d255e6760faf5f97a9e829571fab8ed3d255e6760f
228,ISN000228,268,14,1,InventorySerialNumber starter record 228,2020-08-16,2021-08-16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4541362b06aa58f9899e4621039983194541362b06aa58f9899e462103998319
229,ISN000229,383,192,5,InventorySerialNumber starter record 229,2020-08-17,2021-08-17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b3a25a8ce26051dcae30be13809525dbb3a25a8ce26051dcae30be13809525db
230,ISN000230,475,140,3,InventorySerialNumber starter record 230,2020-08-18,2021-08-18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,31cfe615dff15c64a84fa89e9572cf9831cfe615dff15c64a84fa89e9572cf98
231,ISN000231,244,7,2,InventorySerialNumber starter record 231,2020-08-19,2021-08-19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4e129fde0bde56f584b477a959903bfa4e129fde0bde56f584b477a959903bfa
232,ISN000232,348,322,2,InventorySerialNumber starter record 232,2020-08-20,2021-08-20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ce8a9cbae2eb5183af42b231582af4cbce8a9cbae2eb5183af42b231582af4cb
233,ISN000233,94,195,10,InventorySerialNumber starter record 233,2020-08-21,2021-08-21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8d95afd1d1745a169934a98e4dd393648d95afd1d1745a169934a98e4dd39364
234,ISN000234,15,71,4,InventorySerialNumber starter record 234,2020-08-22,2021-08-22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4879d4023f685c1e801cad66678085a24879d4023f685c1e801cad66678085a2
235,ISN000235,41,19,1,InventorySerialNumber starter record 235,2020-08-23,2021-08-23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5e75bfaf5117563083776ec7e35c20a55e75bfaf5117563083776ec7e35c20a5
236,ISN000236,394,414,4,InventorySerialNumber starter record 236,2020-08-24,2021-08-24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7abe5f1de3b5563abfb83f4c112cb89b7abe5f1de3b5563abfb83f4c112cb89b
237,ISN000237,424,212,2,InventorySerialNumber starter record 237,2020-08-25,2021-08-25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7caa5a6cfcbc54909c56db6332abee287caa5a6cfcbc54909c56db6332abee28
238,ISN000238,293,-1,7,InventorySerialNumber starter record 238,2020-08-26,2021-08-26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b3af67b1f36c5a4889cc4c232a11421fb3af67b1f36c5a4889cc4c232a11421f
239,ISN000239,201,452,3,InventorySerialNumber starter record 239,2020-08-27,2021-08-27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ec796273332c5e1daad7379ee8f0fa05ec796273332c5e1daad7379ee8f0fa05
240,ISN000240,296,460,6,InventorySerialNumber starter record 240,2020-08-28,2021-08-28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e0f40458995d5c43bc80478571cdd571e0f40458995d5c43bc80478571cdd571
241,ISN000241,328,248,6,InventorySerialNumber starter record 241,2020-08-29,2021-08-29,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,170bbd71347d518c924fd047b5023e2f170bbd71347d518c924fd047b5023e2f
242,ISN000242,66,463,1,InventorySerialNumber starter record 242,2020-08-30,2021-08-30,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b64206b9ab875ee89073cd381b5c8f1bb64206b9ab875ee89073cd381b5c8f1b
243,ISN000243,266,185,3,InventorySerialNumber starter record 243,2020-08-31,2021-08-31,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fa85a1587fb95088aeadb0ec3259929efa85a1587fb95088aeadb0ec3259929e
244,ISN000244,338,112,4,InventorySerialNumber starter record 244,2020-09-01,2021-09-01,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,da69662170ef5c45836232f654b9507ada69662170ef5c45836232f654b9507a
245,ISN000245,275,110,7,InventorySerialNumber starter record 245,2020-09-02,2021-09-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,409f03102a1b5f619e557010845b67bd409f03102a1b5f619e557010845b67bd
246,ISN000246,301,375,4,InventorySerialNumber starter record 246,2020-09-03,2021-09-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4b1a2aabe16e5ae9a7ac9b9fa5ad00a24b1a2aabe16e5ae9a7ac9b9fa5ad00a2
247,ISN000247,215,180,6,InventorySerialNumber starter record 247,2020-09-04,2021-09-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7aec30e5e21c5b889616d793ae893dce7aec30e5e21c5b889616d793ae893dce
248,ISN000248,418,236,1,InventorySerialNumber starter record 248,2020-09-05,2021-09-05,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,84f8cf1a5c495966a7ca0bad43234a3f84f8cf1a5c495966a7ca0bad43234a3f
249,ISN000249,309,471,10,InventorySerialNumber starter record 249,2020-09-06,2021-09-06,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,8fca4d3244d75c15af16975080419b0b8fca4d3244d75c15af16975080419b0b
250,ISN000250,72,418,8,InventorySerialNumber starter record 250,2020-09-07,2021-09-07,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,868784e15822539f93f807c9314eb30d868784e15822539f93f807c9314eb30d
251,ISN000251,466,247,10,InventorySerialNumber starter record 251,2020-09-08,2021-09-08,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4bdf711a25445c3d84c0a4fec52b990e4bdf711a25445c3d84c0a4fec52b990e
252,ISN000252,451,81,4,InventorySerialNumber starter record 252,2020-09-09,2021-09-09,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,890295fe77925c30b088cdff8f5626d7890295fe77925c30b088cdff8f5626d7
253,ISN000253,264,481,6,InventorySerialNumber starter record 253,2020-09-10,2021-09-10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c4994922d6c759048135cc6bf1901b31c4994922d6c759048135cc6bf1901b31
254,ISN000254,373,91,3,InventorySerialNumber starter record 254,2020-09-11,2021-09-11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a28846a6579759b4b26cf12de23a61bca28846a6579759b4b26cf12de23a61bc
255,ISN000255,271,-1,7,InventorySerialNumber starter record 255,2020-09-12,2021-09-12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a7d7aebe962e5eada674833258099c30a7d7aebe962e5eada674833258099c30
256,ISN000256,6,176,2,InventorySerialNumber starter record 256,2020-09-13,2021-09-13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,850aae0ff6b95ef885cab6b6e537b9a2850aae0ff6b95ef885cab6b6e537b9a2
257,ISN000257,88,182,8,InventorySerialNumber starter record 257,2020-09-14,2021-09-14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,bb491e5bd8e45bb7bf209005a8ddf15cbb491e5bd8e45bb7bf209005a8ddf15c
258,ISN000258,203,272,6,InventorySerialNumber starter record 258,2020-09-15,2021-09-15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ffbb7952a1205e56b793e6b2100c4302ffbb7952a1205e56b793e6b2100c4302
259,ISN000259,230,478,6,InventorySerialNumber starter record 259,2020-09-16,2021-09-16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,66f0d6b9718a557aad83c01efa8da40566f0d6b9718a557aad83c01efa8da405
260,ISN000260,115,103,10,InventorySerialNumber starter record 260,2020-09-17,2021-09-17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,39880861033d57268f9eedc6d5555af439880861033d57268f9eedc6d5555af4
261,ISN000261,358,316,9,InventorySerialNumber starter record 261,2020-09-18,2021-09-18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f33db661f10b51f49eb56234716fb084f33db661f10b51f49eb56234716fb084
262,ISN000262,196,472,8,InventorySerialNumber starter record 262,2020-09-19,2021-09-19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3ca0038497ce5b8ea43601ac8d06b1bd3ca0038497ce5b8ea43601ac8d06b1bd
263,ISN000263,424,57,6,InventorySerialNumber starter record 263,2020-09-20,2021-09-20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,430b88b0d7f8558787153967246ecdc1430b88b0d7f8558787153967246ecdc1
264,ISN000264,422,462,1,InventorySerialNumber starter record 264,2020-09-21,2021-09-21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3b087a5bec0058219406cf24582ca0363b087a5bec0058219406cf24582ca036
265,ISN000265,272,453,7,InventorySerialNumber starter record 265,2020-09-22,2021-09-22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5b2d5ba53bb359e193279d43750a86a95b2d5ba53bb359e193279d43750a86a9
266,ISN000266,144,36,10,InventorySerialNumber starter record 266,2020-09-23,2021-09-23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c3c0236e75ab5a7cbe75ea221f701591c3c0236e75ab5a7cbe75ea221f701591
267,ISN000267,359,339,8,InventorySerialNumber starter record 267,2020-09-24,2021-09-24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2d3353d53f355730a6e1f299c78328b42d3353d53f355730a6e1f299c78328b4
268,ISN000268,10,489,10,InventorySerialNumber starter record 268,2020-09-25,2021-09-25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a998881a510a56c69f68453708767e97a998881a510a56c69f68453708767e97
269,ISN000269,346,222,6,InventorySerialNumber starter record 269,2020-09-26,2021-09-26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5bfcbcf79587573ea91a873d84fa22d15bfcbcf79587573ea91a873d84fa22d1
270,ISN000270,170,72,3,InventorySerialNumber starter record 270,2020-09-27,2021-09-27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a09714499e8055518058dbf152aed019a09714499e8055518058dbf152aed019
271,ISN000271,83,161,3,InventorySerialNumber starter record 271,2020-09-28,2021-09-28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d4828a8c2bf75d4782ef70fbb8e3112fd4828a8c2bf75d4782ef70fbb8e3112f
272,ISN000272,43,-1,5,InventorySerialNumber starter record 272,2020-09-29,2021-09-29,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0ca715eab376597791dec730ca5ad9b50ca715eab376597791dec730ca5ad9b5
273,ISN000273,102,335,10,InventorySerialNumber starter record 273,2020-09-30,2021-09-30,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6d6437829bab5086ac0c489fc7db11396d6437829bab5086ac0c489fc7db1139
274,ISN000274,278,58,2,InventorySerialNumber starter record 274,2020-10-01,2021-10-01,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5d1c8e2296b75327a08f02200db78f505d1c8e2296b75327a08f02200db78f50
275,ISN000275,126,313,4,InventorySerialNumber starter record 275,2020-10-02,2021-10-02,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0d18b6d878ba506d960c598f7c9fd6490d18b6d878ba506d960c598f7c9fd649
276,ISN000276,184,454,9,InventorySerialNumber starter record 276,2020-10-03,2021-10-03,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b8168173ab9e5249bea86a26a0ad84d9b8168173ab9e5249bea86a26a0ad84d9
277,ISN000277,418,349,9,InventorySerialNumber starter record 277,2020-10-04,2021-10-04,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c39a2331973c5bce96fc5519845c22b8c39a2331973c5bce96fc5519845c22b8
278,ISN000278,409,336,8,InventorySerialNumber starter record 278,2020-10-05,2021-10-05,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e9c935f035b35a7193ca1606c439896de9c935f035b35a7193ca1606c439896d
279,ISN000279,22,266,1,InventorySerialNumber starter record 279,2020-10-06,2021-10-06,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e9a289912cb158f3a3995d86ea14d106e9a289912cb158f3a3995d86ea14d106
280,ISN000280,41,131,5,InventorySerialNumber starter record 280,2020-10-07,2021-10-07,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,53757ed13d0a549ca54a3babbf3ecab853757ed13d0a549ca54a3babbf3ecab8
281,ISN000281,389,346,6,InventorySerialNumber starter record 281,2020-10-08,2021-10-08,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b3c2a7b15c79590dbc53f3395eaca682b3c2a7b15c79590dbc53f3395eaca682
282,ISN000282,257,87,4,InventorySerialNumber starter record 282,2020-10-09,2021-10-09,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,d2bae46cd21c545b9cf6b12f38a5b378d2bae46cd21c545b9cf6b12f38a5b378
283,ISN000283,67,110,10,InventorySerialNumber starter record 283,2020-10-10,2021-10-10,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c47e293db5ae537bb99f188d3d362125c47e293db5ae537bb99f188d3d362125
284,ISN000284,252,472,1,InventorySerialNumber starter record 284,2020-10-11,2021-10-11,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6c6f93918a535219973fb7ceedcd59416c6f93918a535219973fb7ceedcd5941
285,ISN000285,277,299,10,InventorySerialNumber starter record 285,2020-10-12,2021-10-12,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,20edc5b1356653cf820e507bc2814c1620edc5b1356653cf820e507bc2814c16
286,ISN000286,194,392,3,InventorySerialNumber starter record 286,2020-10-13,2021-10-13,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,0b37e353e14556b3a4eb47304d5212490b37e353e14556b3a4eb47304d521249
287,ISN000287,32,149,1,InventorySerialNumber starter record 287,2020-10-14,2021-10-14,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e18a84d071945d19843bea110bc63a04e18a84d071945d19843bea110bc63a04
288,ISN000288,88,318,5,InventorySerialNumber starter record 288,2020-10-15,2021-10-15,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,349a0a5482bd583696d6de0395b2de8e349a0a5482bd583696d6de0395b2de8e
289,ISN000289,103,-1,5,InventorySerialNumber starter record 289,2020-10-16,2021-10-16,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,39689549e3b95ea2895be199c02e5ce139689549e3b95ea2895be199c02e5ce1
290,ISN000290,109,276,1,InventorySerialNumber starter record 290,2020-10-17,2021-10-17,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3c480e9e8f68534aae099e89314f5fb33c480e9e8f68534aae099e89314f5fb3
291,ISN000291,475,442,2,InventorySerialNumber starter record 291,2020-10-18,2021-10-18,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,7969ee193d8c567f8a0c6c162115db227969ee193d8c567f8a0c6c162115db22
292,ISN000292,237,458,5,InventorySerialNumber starter record 292,2020-10-19,2021-10-19,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cd65132c2c655b5ba9e79c29dc685c18cd65132c2c655b5ba9e79c29dc685c18
293,ISN000293,420,338,9,InventorySerialNumber starter record 293,2020-10-20,2021-10-20,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6a2dd1c29016550780e97b13e16a19d06a2dd1c29016550780e97b13e16a19d0
294,ISN000294,221,128,6,InventorySerialNumber starter record 294,2020-10-21,2021-10-21,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,80fc26ac05b05524ba9ec11bef9b5cf080fc26ac05b05524ba9ec11bef9b5cf0
295,ISN000295,123,280,4,InventorySerialNumber starter record 295,2020-10-22,2021-10-22,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c971ffdecde5565596c3674104e6caaec971ffdecde5565596c3674104e6caae
296,ISN000296,23,341,9,InventorySerialNumber starter record 296,2020-10-23,2021-10-23,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,a75296623b4a5ae38fd9e029f6987b4ba75296623b4a5ae38fd9e029f6987b4b
297,ISN000297,348,31,8,InventorySerialNumber starter record 297,2020-10-24,2021-10-24,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,195cb9ed8fb059aeb42e7f6ea9229697195cb9ed8fb059aeb42e7f6ea9229697
298,ISN000298,493,488,2,InventorySerialNumber starter record 298,2020-10-25,2021-10-25,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6b37da6716655c7f8dcd4048db8435ec6b37da6716655c7f8dcd4048db8435ec
299,ISN000299,452,399,9,InventorySerialNumber starter record 299,2020-10-26,2021-10-26,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b886077897ce58209d327b4e164984c2b886077897ce58209d327b4e164984c2
300,ISN000300,43,480,7,InventorySerialNumber starter record 300,2020-10-27,2021-10-27,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9ea6215034db56fa9a81605b0d9ab2d29ea6215034db56fa9a81605b0d9ab2d2
301,ISN000301,59,314,5,InventorySerialNumber starter record 301,2020-10-28,2021-10-28,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e66ad4b55e705dd9b89c227d8f46cdd1e66ad4b55e705dd9b89c227d8f46cdd1
