ProductionShiftKey,ProductionShiftCode,PlantKey,ProductionCrewTypeKey,TimeZoneKey,ProductionShiftName,RevisionCode,ActiveFlag,StandardValue,SourceSystemKey,BatchId,LoadedAtUtc
488,PS000488,272,135,15,Unity ProductionShift 488,PS000488,1,678.5600,1,1,2026-08-24T00:00:00.000
489,PS000489,209,45,47,Harbor ProductionShift 489,PS000489,1,679.9300,1,1,2026-08-24T00:00:00.000
490,PS000490,259,52,55,Northstar ProductionShift 490,PS000490,0,681.3000,1,1,2026-08-24T00:00:00.000
491,PS000491,225,1,11,Beacon ProductionShift 491,PS000491,1,682.6700,1,1,2026-08-24T00:00:00.000
492,PS000492,282,56,8,Unity ProductionShift 492,PS000492,1,684.0400,1,1,2026-08-24T00:00:00.000
493,PS000493,117,6,46,Harbor ProductionShift 493,PS000493,1,685.4100,1,1,2026-08-24T00:00:00.000
494,PS000494,123,106,19,Forge ProductionShift 494,PS000494,1,686.7800,1,1,2026-08-24T00:00:00.000
495,PS000495,242,5,55,Willow ProductionShift 495,PS000495,0,688.1500,1,1,2026-08-24T00:00:00.000
496,PS000496,134,132,55,Orion ProductionShift 496,PS000496,1,689.5200,1,1,2026-08-24T00:00:00.000
497,PS000497,53,35,57,Orion ProductionShift 497,PS000497,1,690.8900,1,1,2026-08-24T00:00:00.000
498,PS000498,104,130,28,Riverton ProductionShift 498,PS000498,1,692.2600,1,1,2026-08-24T00:00:00.000
499,PS000499,260,8,52,Keystone ProductionShift 499,PS000499,1,693.6300,1,1,2026-08-24T00:00:00.000
500,PS000500,327,37,30,Atlas ProductionShift 500,PS000500,0,695.0000,1,1,2026-08-24T00:00:00.000
